date,region,category,product,quantity,unit_price,total_sales
2025-01-05,North,Electronics,Headphones,5,25.00,125.00
2025-01-07,South,Electronics,Keyboard,3,45.00,135.00
2025-01-08,East,Home,Blender,2,60.00,120.00
2025-01-10,West,Fashion,T-Shirt,10,12.00,120.00
2025-01-15,North,Fashion,Jeans,4,40.00,160.00
2025-02-03,South,Electronics,Mouse,7,15.00,105.00
2025-02-10,East,Home,Coffee Maker,1,80.00,80.00
2025-02-12,West,Electronics,Webcam,2,55.00,110.00
2025-02-18,North,Home,Vacuum,1,150.00,150.00
2025-02-20,South,Fashion,Jacket,2,75.00,150.00
2025-03-01,East,Electronics,Monitor,1,200.00,200.00
2025-03-02,West,Home,Toaster,3,20.00,60.00
2025-03-05,North,Electronics,Headphones,8,25.00,200.00
2025-03-10,South,Fashion,Sneakers,5,60.00,300.00
2025-03-12,East,Home,Microwave,1,120.00,120.00
2025-03-15,West,Electronics,Keyboard,6,45.00,270.00
2025-04-01,North,Fashion,T-Shirt,12,12.00,144.00
2025-04-03,South,Home,Blender,3,60.00,180.00
2025-04-05,East,Electronics,Mouse,10,15.00,150.00
2025-04-10,West,Home,Toaster,4,20.00,80.00
2025-04-12,North,Electronics,Monitor,2,200.00,400.00
2025-04-15,South,Fashion,Jeans,6,40.00,240.00
2025-05-02,East,Electronics,Webcam,3,55.00,165.00
2025-05-05,West,Home,Vacuum,2,150.00,300.00
2025-05-08,North,Fashion,Jacket,4,75.00,300.00
2025-05-10,South,Electronics,Headphones,6,25.00,150.00
2025-05-12,East,Home,Coffee Maker,2,80.00,160.00
2025-06-01,West,Electronics,Monitor,3,200.00,600.00
2025-06-05,North,Home,Microwave,2,120.00,240.00
2025-06-08,South,Fashion,Sneakers,8,60.00,480.00
2025-06-12,East,Electronics,Keyboard,5,45.00,225.00
2025-06-15,West,Home,Blender,4,60.00,240.00
2025-06-18,North,Electronics,Mouse,12,15.00,180.00
2025-07-01,South,Home,Toaster,5,20.00,100.00
2025-07-04,East,Fashion,T-Shirt,15,12.00,180.00
2025-07-06,West,Electronics,Headphones,7,25.00,175.00
2025-07-10,North,Fashion,Jeans,9,40.00,360.00
2025-07-12,South,Home,Vacuum,1,150.00,150.00
2025-07-15,East,Electronics,Webcam,4,55.00,220.00
2025-08-01,West,Fashion,Sneakers,6,60.00,360.00
2025-08-03,North,Home,Coffee Maker,3,80.00,240.00
2025-08-05,South,Electronics,Monitor,1,200.00,200.00
2025-08-10,East,Home,Microwave,1,120.00,120.00
2025-08-12,West,Electronics,Keyboard,4,45.00,180.00
2025-08-15,North,Fashion,Jacket,2,75.00,150.00
2025-09-01,South,Electronics,Mouse,9,15.00,135.00
2025-09-05,East,Home,Toaster,6,20.00,120.00
2025-09-08,West,Fashion,T-Shirt,10,12.00,120.00
2025-09-12,North,Electronics,Headphones,5,25.00,125.00
2025-09-15,South,Home,Blender,2,60.00,120.00